sr,trail14+,trail,close,lead,lead14+
-16.0,0.3937849501571121,0.3719181750086418,0.20192417710943567,0.032372697724810405,0.0
-15.0,0.24313725490196078,0.47164404223227757,0.2531674208144797,0.032051282051282055,0.0
-14.0,0.2325529686292955,0.3451875593793065,0.3314183894566882,0.08637014363754134,0.004470938897168405
-13.0,0.35950612378946617,0.2520249525950081,0.29694641386720955,0.05129209500177242,0.04023041474654378
-12.0,0.3801918238680465,0.30112987535840313,0.24952924577543875,0.06914905499811161,0.0
-11.0,0.2902458194702352,0.4057629681775354,0.212584285945303,0.0914069264069264,0.0
-10.0,0.3095812755988105,0.30738159117112446,0.3192137375092448,0.05629831210878007,0.007525083612040134
-9.0,0.15985358665358956,0.3679960485767145,0.3985481184169108,0.07360224635278514,0.0
-8.0,0.20826642936886414,0.3029329529630902,0.3288135362538967,0.13213784257626499,0.027849238837883906
-7.0,0.23838842657182585,0.288915169772335,0.3112162797779792,0.12075611742452373,0.0407240064533362
-6.0,0.1972988910118134,0.34433869382288823,0.31734013546462764,0.11510907476459402,0.025913204936076698
-5.0,0.18207248514775176,0.3712780871329411,0.377736869408815,0.02553824137060138,0.04337431693989071
-4.0,0.15414979888897207,0.32401871224013123,0.36936752388057936,0.12637294968707533,0.026091015303241996
-3.0,0.1552829433124751,0.2918996492743173,0.37974895790897417,0.13602137470106332,0.03704707480317009
-2.0,0.11288421116131331,0.2891748666424654,0.36587049121512233,0.17392287610310667,0.058147554877992315
-1.0,0.09919805484015347,0.23902743797047937,0.3924263986231047,0.18722807119405885,0.08212003737220358
1.0,0.12056972812544811,0.2766188412537216,0.37121301520846883,0.17221637252796113,0.059382042884400334
2.0,0.09609253030868942,0.24698028470353045,0.39372217526197434,0.20422207674973292,0.05898293297607287
3.0,0.06282852535573125,0.2116425524134813,0.4149756160364261,0.2133912423835939,0.0971620638107675
4.0,0.05022751390580807,0.20240531468636783,0.4197199301759728,0.24042351749227273,0.08722372373957857
5.0,0.07375460360534987,0.0768756887112959,0.4744138639007335,0.2581905623157109,0.11676528146690981
6.0,0.04466203020040446,0.19248869040240063,0.36203758931114316,0.28996101965670995,0.11085067042934182
7.0,0.06263954543093123,0.17981102175760375,0.37737769657558073,0.2303567061242835,0.14981503011160077
8.0,0.05700470305941873,0.20432515837109208,0.3500561180250738,0.24650394492267846,0.1421100756217369
9.0,0.026785714285714284,0.14261827755988826,0.45128722339099625,0.24613673973994113,0.1331720450234601
10.0,0.012393117525337349,0.12747037279973308,0.3945787618320709,0.26468128817664655,0.200876459666212
11.0,0.0,0.12892540033722868,0.40381305627707936,0.3145875215260832,0.15267402185960877
12.0,0.0,0.17789954128654495,0.26079855618621756,0.3214655934000573,0.23983630912718018
13.0,0.07154717428690031,0.0722833151156516,0.34872092236874463,0.25450070932486457,0.2529478789038389
14.0,0.02134379108099909,0.1655989995893866,0.39929941390104956,0.2692309073824612,0.14452688804610356
15.0,0.0,0.07575757575757576,0.28461081402257876,0.6345811051693405,0.005050505050505051
16.0,0.0,0.0686303751621232,0.32525069061353806,0.3405895282647787,0.2655294059595601
